	Id	Titulo	Compañia	Lugar	Fecha	Nivel de antigüedad	Tipo de empleo	Función laboral	Sectores	Contenido
0	2282693674	Quality Assurance Analyst	Johnson & Johnson	Pilar, Provincia de Buenos Aires, Argentina	Hace 7 horas	 Sin experiencia	 Jornada completa	 Control de calidad	 Servicios médicos Atención sanitaria y hospitalaria Industria farmacéutica	"Quality Assurance Analyst
At Johnson & Johnson, the largest healthcare company in the world, we come together for one purpose: to transform the history of health in humanity.  
Diversity & Inclusion are essential to continue building our history of pioneering and innovation, which has been impacting the health of more than 1 billion patients and consumers every day for more than 130 years. Regardless of your race, belief, sexual orientation, religion or any other trait, YOU are welcome in all open positions at the largest healthcare company in the world.  
When You Join Johnson & Johnson, Your Move Could Mean Our Next Breakthrough.  
If you're passionate about your career every single day, we'd love to hear from you!
We invite you to read this Job Description and apply if you are passionate about the position and meet the requirements. 
The Janssen Pharmaceutical Companies of Johnson & Johnson are dedicated to addressing and solving the most important unmet medical needs of our time, including oncology (e.g., multiple myeloma and prostate cancer), immunology (e.g., rheumatoid arthritis, irritable bowel disease and psoriasis), neuroscience (e.g., schizophrenia, dementia and pain), infectious disease (e.g., HIV/AIDS, Hepatitis C and tuberculosis), cardiovascular and metabolic diseases (e.g., diabetes) and Pulmonary Arterial Hypertension (PAH) and Rare Diseases.
Position Description:
Quality Assurance Analyst will be responsible: Provide support and their knowledge in the tasks that help implement, maintain and improve the Quality Management System in order to comply with current local legislation, the Quality Manual and J&J Global Quality standards.  
Key Responsibilities: 
• Administration of Standard Operating Procedures (SOP)
• Coordination of training and administration of records
• Participate in quality audits and inspections
• Preparation and follow-up of Internal Audit Plans, Supplier Audits, Training
• Maintaining the records of Deviations, Exchange Control, CAPAs (Corrective Actions / Preventive Actions)
• Participation in the preparation of the Management Review
• Complaints management, investigation, monitoring, trend analysis and reconciliation of the same
• Maintenance of GMP Records and Documentation
• Participation in Risk Analysis
• Compliance with local Corporate and Regulatory policies
 "
1	2299018706	Encargado de Sólidos - Buenos Aires		Buenos Aires, Provincia de Buenos Aires, Argentina	Hace 1 mes	 Intermedio	 Jornada completa	 Gestión Manufactura	 Ingeniería industrial o mecánica Recursos humanos Industria farmacéutica	"Orientamos la búsqueda a Graduado o estudiante Universitario avanzado Farmacéutico o carrera afín.

Los Principales Desafíos Serán
Manejo de personal. Distribución de las tareas al personal a cargo.
Relevamiento de instalaciones/ piezas/ repuestos.
Preparación de informes técnicos.
Seguimiento de Cronograma de Producción, Mantenimiento, Calibración, Calificación.
Verificación de armado, desarmado, limpieza y manejo de equipos. Granuladores de alto corte, mezcladores, molinos, comprimidoras, capsuladoras y pailas.
LLenado de Batch Record y toda clase de documentación GMP relevante.
Redacción de Procedimientos operativos, desvíos y controles de cambio.
Seguimiento estadístico de la producción y controles de proceso.
Verificar el cumplimiento de normas y procedimientos.
Verificar el correcto cumplimiento de procesos productivos y manejo de equipos.
Llevar adelante la capacitación del personal en procesos productivos y en normas GMP.
Armado de Batch Record y conciliación de información. Saber procesar información bajada de las maquinarias.
Cargar y notificación en sistemas productivos (QAD, SAP, ETC).
Ejecutar, controlar y registrar las operaciones descriptas en las hojas de ruta para cumplir con los SOPS. Vigentes.
Ejecutar y registrar procedimientos de limpieza sobre equipos y áreas.
Cumplir y hacer cumplir normas de GMP y HSE vigentes. Ejecutar y registrar controles de proceso para garantizar el cumplimiento de standares de producción.
Ejecutar y verificar procesos de validación de equipos, áreas, procesos etc.
Manejo de documentación de producción (excluyente).
Resolución rápida y eficiente de problemas sin afectar productos y/o procesos (excluyente).
Manejo medio de PC (excluyente).
Conocimiento sobre los equipos y procesos a desarrollar en Producción de Sólidos (excluyente).
Ofrecemos paquete de beneficios y un excelente clima de trabajo."
2	2168020363	Job Seekers (Non US)	Amplity Health	Argentina	Hace 4 semanas	 No corresponde	 Jornada completa	 Otro	 Servicios médicos Atención sanitaria y hospitalaria Industria farmacéutica	"Come join the true partner of global healthcare companies who builds transformational solutions by challenging the boundaries of commercialization strategies to improve the lives of patients.
Thank you for your interest in employment at Amplity Health. Please create your profile and upload your resume for future employment opportunities.

You can also create job alerts for specific criteria.

About Us

Amplity provides a comprehensive array of multichannel message delivery solutions to the life sciences industry. From in field to inside and from promotional to clinical, Amplity centers-of-excellence include field sales and service, live video detailing, inside credentialed sales specialists, inside sales and service, clinical health educators, and medical science liaisons. A wide range of vital support solutions-each of which serves all of the company's message delivery channels-includes recruiting, training, performance management, operations, data/analytics, and compliance. Amplity Health provides the human touch to precision multichannel messaging delivered at the right time and through the right channels to achieve maximum impact.

Partnership. Amplified.

OUR CULTURE

When you join Amplity Health, you have the opportunity to work with and learn from leaders in the health care industry. Our commitment to a team-oriented culture and value-based leadership model provides an environment where our employees can work to their full potential. Opportunities with Amplity offer competitive compensation and dependent on the opportunity could include a comprehensive benefits package. Join the Amplity team to grow with the nation's leader in healthcare.

One of our goals is to continuously drive innovation through our people by creating an open, respectful, inclusive and trustworthy work environment. We encourage and support equal employment opportunities for all associates and applicants for employment without regard to race, color, creed, religion, age, sex, sexual orientation, gender, gender identity, gender expression, national origin, ancestry, citizenship status, marital status, medical condition as defined by applicable state law, genetic information, disability, military service and veteran status, pregnancy, childbirth and related medical conditions, or any other characteristic protected by applicable federal, state, or local laws and ordinances. Employment decisions are evaluated on the basis of an individual's skills, knowledge, abilities, job performance and other qualifications. We do not condone or tolerate an atmosphere of intimidation or harassment.

To learn more about us, visit our website at amplity.com or our social media pages.

OUR DIVERSITY POLICY

We encourage and support equal employment opportunities for all associates and applicants for employment without regard to sex, race, color, religion, national origin, age, disability, marital status, sexual orientation or veteran status. Employment decisions are evaluated on the basis of an individual's skills, knowledge, abilities, job performance and other qualifications. In addition, Amplity Health maintains policies and procedures designed to comply with applicable federal, state and local laws governing non-discrimination in employment in every location in which Amplity Health has facilities."
3	2274682033	LATAM Commercial Early Career Program	AbbVie	Buenos Aires, Provincia de Buenos Aires, Argentina	Hace 3 semanas	 No corresponde	 Jornada completa	 Publicidad Marketing Gestión de productos	 Biotecnología Atención sanitaria y hospitalaria Industria farmacéutica	"About AbbVie

AbbVie’s mission is to discover and deliver innovative medicines that solve serious health issues today and address the medical challenges of tomorrow. We strive to have a remarkable impact on people’s lives across several key therapeutic areas: immunology, oncology, neuroscience, eye care, virology, women’s health and gastroenterology, in addition to products and services across its Allergan Aesthetics portfolio. For more information about AbbVie, please visit us at www.abbvie.com. Follow @abbvie on Twitter, Facebook, Instagram, YouTube and LinkedIn.

Latin America Commercial Early Career Program

As a Latin America Commercial Early Career Program member, you’ll participate in a new, full-time rotational program supporting our Latin America affiliate. This program helps develop high potential MBA talent for future commercial and management positions. By rotating through a variety of Latin America commercial roles across AbbVie over two years and three rotations, the program addresses the business needs of today while helping to grow experienced, well-rounded management talent for tomorrow. You will also get experience by working cross functionally in a matrix environment, building your business acumen, and participating in key training sessions.

Key Responsibilities Include
Market access planning and execution
Infield Team planning and execution
Training program development
Creation of a patient support program for new products
Demonstrated oral and written communication skills
Strong analytical skills
Demonstrated leadership potential
Strong track record of accomplishments
Prior work experience in business or sales

Qualifications
Completion of a Master’s of Business Administration, preferably with an emphasis on marketing or general management
Strong academic performance, minimum cumulative GPA = 3.0/4.0
Fluency in Spanish or Portuguese (reading, writing, and speaking)
Eligible to work in Brazil, Argentina, Colombia, Mexico or Puerto Rico on a permanent basis without requiring sponsorship
Geographic mobility, interested in a career in Latin America

Locations

Assignment Opportunities Are In The Following Cities
Sao Paulo, Brazil
Buenos Aires, Argentina
Bogota, Colombia
DF, Mexico
Barceloneta, Puerto Rico
Recruitment Process
To be considered, applicants must apply to the Latin America Commercial Early Career Program posting at www.abbviecareers.com.

Equal Opportunity Employer Minorities/Women/Veterans/Disabled

Significant Work Activities
Continuous sitting for prolonged periods (more than 2 consecutive hours in an 8 hour day)
Travel
No
Job Type
Professional Development Program
Schedule
Full-time
Job Level Code
IC
Equal Employment Opportunity
At AbbVie, we value bringing together individuals from diverse backgrounds to develop new and innovative solutions for patients. As an equal opportunity employer we do not discriminate on the basis of race, color, religion, national origin, age, sex (including pregnancy), physical or mental disability, medical condition, genetic information gender identity or expression, sexual orientation, marital status, protected veteran status, or any other legally protected characteristic."
4	2253883023	Customer Service Specialist I	Thermo Fisher Scientific	Buenos Aires y alrededores	Hace 2 semanas	 No corresponde	 Jornada completa	 Tecnología de la información	 Industria farmacéutica Biotecnología	"Thermo Fisher Scientific Inc. es líder mundial en productos y soluciones científicas, con ingresos superiores a $25,000 millones de dólares y más de 75,000 empleados a nivel global. Nuestra misión es dar la posibilidad a nuestros clientes de hacer del mundo un lugar más saludable, limpio y seguro. Ayudamos a nuestros clientes a acelerar la investigación en ciencias de la vida, resolver retos analíticos complejos, mejorar el diagnóstico de pacientes e incrementar la productividad de los laboratorios. A través de nuestras marcas premier (Thermo Scientific, Applied Biosystems, Invitrogen, Fisher Scientific y Unity Lab Services) ofrecemos una combinación sin igual de tecnologías innovadoras, comodidad en la compra y soporte integral. Para más información, visite el sitio www.thermofisher.com

Ubicación/División Especifica
En Buenos Aires, Argentina.

Como haras impacto en tu posición?(Objetivo)

Principal punto de contacto para el cliente con respecto a solicitudes de cotizaciones, confirmaciones de compra y otros procesos administrativos por teléfono y correo electrónico. Brinda servicio al cliente especializado. Recibe y gestiona problemas específicos escalados. Desempeña un papel fundamental en la construcción y el mantenimiento de las relaciones con los clientes y desempeña un papel clave en la representación de la empresa para ellos.

Que harás? (Responsabilidades)
Responde de manera positiva, rápida, profesional y eficiente a todas las solicitudes de los clientes, que incluyen consultas sobre precios, disponibilidad de productos, estado de pedidos, detalles de envío, entre otros;
Responde de manera positiva, rápida, profesional y eficiente a problemas específicos escalados;
Recibe, investiga y prioriza problemas internos y externos;
Sigue los estándares establecidos de calidad de servicio y cumple con los objetivos definidos del departamento (tiempo de procesamiento del presupuesto, tiempo de procesamiento de pedidos, volumen de llamadas respondidas, registro de los motivos de las llamadas, procesamiento de devoluciones, entre otros);
Como llegarás ahi?
Título universitario completo en Administración, Biomedicina, Bioquímica, Farmacia o equivalente;
El conocimiento del inglés es deseable.
Habilidades/Conocimentos
Mínimo de 3 años de experiencia en áreas de Servicio al Cliente (dentro y / o fuera de la empresa);
Conocimiento avanzado de los procesos comerciales de la compañía y los sistemas de presupuesto y entrada de pedidos;
Conocimiento avanzado de las características de los sistemas de gestión (ERP);
Conocimientos sólidos en herramientas como Microsoft Word, Excel, Power Point y Outlook;
Capacidad para identificar y resolver problemas y actuar en situaciones que tienen un tiempo de entrega limitado;
Atención al cliente, conocimiento del mercado, tendencias y competidores;
Fuerte habilidad en la comunicación escrita y verbal;
Capacidad para anticipar necesidades y problemas y generar soluciones.
En Thermo Fisher Scientific, cada una de nuestras 70,000 mentes extraordinarias tiene una historia única que contar. Únase a nosotros y contribuya a nuestra misión singular: permitir a nuestros clientes de hacer del mundo un lugar más saludable, limpio y seguro

Aplica hoy! http://jobs.thermofisher.com"
5	2264243506	Junior Regulatory Affairs Associate	Parexel	Buenos Aires, Provincia de Buenos Aires, Argentina	Hace 1 mes	 Algo de responsabilidad	 Jornada completa	 Investigación Consultoría	 Industria farmacéutica	"GREAT OPPORTUINITY to join a G-R-O-W-I-N-G Team!

We are currently recruiting bi-lingual (English and Spanish) Junior Associates to join Parexel’s Regulatory Operations Team in our Buenos Aires office. Our Regulatory Operations Services include both pre-approval and post-approval activities ranging from the compilation, publishing, and dispatching of large regulatory dossiers to the authoring of routine product variations, annual reports and other product lifecycle maintenance tasks.

Do you have solid experience in document publishing and QC? Are you interested in working in a large global clinical research organization? We are looking for strong candidates who will have the ability to interact professionally within an international organization. In this role you will assist in the production of submissions and delivery of regulatory services in accordance with defined agency guidelines while balancing the quality and timeliness of customer deliverables. Under the general direction of a Project Lead, you will be responsible for ensuring that client work is performed, and delivered on time, meeting the quality expectations of Regulatory Outsourcing Services and the client.

You must have experience in document publishing ideally using Adobe Acrobat bookmarks and hyperlinks as well as submission preparation and QC using Insight Publisher.

Preference will be given to those with a related University degree.

Fluency in written and spoken English is required.

Due to Parexel's global presence and global clients, our Regulatory Operations Team works shifts. We currently have an opening to work the afternoon shift from 2:00pm to 10:00pm Argentinian time.

Qualifications
Solid experience with MS Office suite and Adobe Acrobat.
Minimum of a Bachelor’s Degree in a Scientific or Technical Discipline ie. Computer Translation
Fluency in written and spoken English and Spanish
Previous eCTD submission preparation experience is a plus as is QC experience using Insight Publisher"
6	2311562386	Administrador de Insumos para laboratorio de Calidad	Novartis	Buenos Aires, Provincia de Buenos Aires, Argentina	Hace 10 horas	 Intermedio	 Jornada completa	 Educación Formación	 Industria farmacéutica	"Descripción de Puesto
799 millones fueron la cantidad de vidas impactadas por nuestros productos en 2019. Y si bien estamos orgullosos de eso, en este mundo de transformación digital y tecnológica también debemos preguntarnos: ¿cómo podemos continuar mejorando y llegar todavía a más vidas?

Tus responsabilidades:
Incluyen pero no están limitadas:
Planear, organizar y dar seguimiento a los procesos locales, procedimientos y actividades relacionadas con la administración de insumos de laboratorio requeridos para el análisis y control de medicamentos, asegurando el cumplimiento de las normas de calidad locales, regionales y globales. Establecer estrategias para la optimización de los procesos de insumos de laboratorio, garantizando la disponibilidad oportuna de los mismos que requieren las organizaciones locales para realizar el análisis y control de medicamentos de acuerdo con los programas locales de pruebas de Liberación y/o Estabilidad.
Coordinar la implementación de medidas que aseguren la clasificación, manipulación y almacenamiento adecuados de los productos químicos en los laboratorios y almacenes locales para garantizar la seguridad y prevenir los riesgos y/o accidentes relacionados con la manipulación de los productos químicos. Coordinar las tareas administrativas y las necesidades del departamento de Calidad asegurando el cumplimiento de los requisitos regulatorios y de calidad.
Verificar la emisión y actualización de las guías, reglamentos y políticas relacionados con el análisis de medicamentos, de acuerdo con las normas locales, regionales y globales. Mantener una actualización constante de los reglamentos y normativa de las autoridades sanitarias aplicables en la región y de las normas corporativas, con el objetivo de garantizar y normalizar el cumplimiento en la región. Preparar, actualizar, revisar y aprobar políticas, procedimientos de operación estandarizados e instrucciones de trabajo, garantizando procesos seguros, reproducibles y que cumplan con las normas de las autoridades sanitarias regionales y globales y las corporativas.
Asistir y apoyar las auditorías internas y externas relacionadas con QA, QC, AS&T y HSE. Establecer y verificar a tiempo la ejecución de todas las CAPA derivadas de estas auditorías. Colaborar en la resolución oportuna de todas las deficiencias detectadas durante las auditorías de las autoridades sanitarias, internas, corporativas y de seguridad, haciendo uso de medidas correctivas y preventivas. Proponer, liderar y/o participar activamente en iniciativas y proyectos de mejora del Aseguramiento de Calidad a nivel local, regional y/o global (por ejemplo, Lean Lab Excellence, 5S, Indirect 2.0, etc.).
Crear, administrar e implementar la estrategia para compras y administración de Insumos de Laboratorio a nivel local, coordinando eficazmente la documentación necesaria entre los proveedores y/o sitios de Novartis, el centro de Servicios de Laboratorio, el usuario final, Compras, Calidad y REFS. Analizar, evaluar, detectar y proponer soluciones para la mitigación de riesgo de Administración de inventarios relacionados con la operación rutinaria de los laboratorios de Calidad. Monitorear los inventarios de Insumos de Laboratorio QC/AS&T, e implementar acciones que garanticen los niveles óptimos de inventario así como los puntos de nuevos pedidos.
Colaborar con Calidad y Cadena de Suministro en la elaboración y ejecución de los programas analíticos de Liberación y Estabilidad. Coordinar, crear y/o administrar Órdenes de Compra y procesos de importación (cuando aplique) de Insumos de Laboratorio para el laboratorio de Calidad local. Cumplir con las guías y políticas de Salud, Seguridad y Medio Ambiente, así como con las de Administración de riesgos de seguridad de la información, Buenas Prácticas de Laboratorio y Buenas Prácticas de Documentación.

Requisitos mínimos
Egresado de Licenciatura con título Universitario en Química, Farmacéutica, Bioquímica, Administración o afín; Ingles Avanzado (escrito, lectura y oral);
Tienes 2 años de experiencia en roles similares idealmente dentro del laboratorio de Control de Calidad, Aseguramiento de Calidad, Compras y/o Cadena de Suministro; adquisición y administración de insumos de laboratorio, así como la administración de proveedores; procesos de importación local de sustancias controladas; procesos de investigación en el laboratorio;
Preferentemente tienes experiencia previa en laboratorios farmacéuticos y conocimiento de regulaciones y lineamientos de control de calidad, GxP y HSE relacionadas con el control, el almacenamiento y distribución de terminados;
Es deseable que tenga conocimientos y experiencia en Six Sigma y SAP MM e IM;
Tener buenas relaciones interpersonales y capacidad para interactuar con otras áreas; Tener excelentes habilidades de comunicación, para influenciar, persuadir y negociar con los Equipos de Trabajo y los Stakeholders; Tener altos estándares de Ética e Integridad; Tener como objetivo personal y profesional el ayudar a la gente a través de la Excelencia Operativa; Tener excelentes habilidades para buscar y promover la Mejora Continua.

Recibirás:
Salario competitivo, bono anual, esquema flexible de trabajo, comedor subsidiado, programa de reconocimiento, desarrollo profesional, capacitación continua, diversidad e inclusión.

Porqué Novartis?

Creemos que las respuestas se encuentran cuando personas curiosas, con coraje y colaborativas como vos se reúnen en un ambiente inspirador. Donde tenés la oportunidad de explorar el poder de los datos digitales. Donde sos empoderado para arriesgarte a fallar tomando riesgos inteligentes. Y donde estarás rodeado de personas que comparten tu determinación para enfrentar los desafíos médicos más complejos del mundo.

Somos Novartis. Unite a nuestro equipo y ayúdanos a reinventar la medicina

Compromiso de Diversidad e Inclusión:
Novartis abarca la diversidad, la igualdad de oportunidades, y la inclusión. Estamos comprometidos con la creación de equipos diversos, representativos de pacientes y las comunidades a las que servimos y nos esforzamos por crear un lugar de trabajo inclusivo que cultive la innovación audaz a través de la colaboración y capacite a nuestra gente para liberar todo su potencial.

Unite a la red de Novartis: Si este rol no se adapta a tu experiencia u objetivos profesionales, pero deseas mantenerte conectado para conocer más sobre Novartis y nuestras oportunidades profesionales, unite a la Red de Novartis aquí: https://talentnetwork.novartis.com/network

División
Novartis Technical Operations

Unidad de Negocio
NTO QUALITY

País
Argentina

Ubicación oficinas
Buenos Aires

Empresa/entidad legal
Novartis Argentina S.A

Área Funcional
Calidad

Tipo de Puesto
Tiempo completo

Tipo empleo
Fijo

Trabajo por turnos
No"
7	2301561324	MONITOR- Investigaciones Clinicas	Fundación Huésped	Buenos Aires, Provincia de Buenos Aires, Argentina	Hace 6 días	 Sin experiencia	 Jornada completa	 Otro	 Recursos humanos Atención sanitaria y hospitalaria Industria farmacéutica	"Objetivo Del Puesto

Realizar el control de calidad de los datos obtenidos de historias clínicas y lo que se registra en base de datos, reportando posibles desvíos, a fin de cumplir con los procedimientos definidos de cada Proyecto de investigación.

Principales Responsabilidades
Realizar el monitoreo clínico de diferentes protocolos de investigación. Esto incluye principalmente trabajo en campo, monitoreo de datos y control de calidad de la información.
Reportar los desvíos ingresando la información en las correspondientes bases de datos, solicitando la corrección de los mismos.
Elaborar el reporte de hallazgos y realizar el correspondiente seguimiento.
Gestionar eventos adversos, mediante el registro de cada ocurrencia (tanto clínicos como de laboratorio grado 3 y 4).
Informar al financiador sobre los hallazgos que impliquen desvíos del protocolo, mediante el proceso de autorización de casos de desvíos (completando un formulario, gestionando su autorización y enviándolo a la entidad involucrada).
Requisitos
Formación terciaria y/o Universitaria en carreras afines a la salud o investigación.
Experiencia previa en monitoreo de Estudios Clínicos mayor a 2 años.
Capacidad de organización, orientado al detalle.
Nivel avanzado de idioma inglés.
Dominio y manejo de avanzado de paquete Office."
8	2269477177	Study Start Up Associate I	ICON plc	Buenos Aires, Provincia de Buenos Aires, Argentina	Hace 2 semanas	 Prácticas	 Contrato por obra	 Educación Formación	 Industria farmacéutica	"Recognize, exemplify and adhere to ICON's values of Accountability and Delivery, Collaboration, Partnership and Integrity which center around our commitment to Ownership.
The employee is expected to embrace and where possible contribute to our culture of continuous process improvement with a focus on streamlining our processes, adding value to our business and meeting client needs.
Travel (approximately 5%) domestic and/or international. Anticipated activities may include attendance at kick-off, investigator or study team meetings.
Working knowledge of ICON SOPs/WPs, ICH/GCP and applicable country regulations/guidelines and ICON systems.
Perform timely and accurate task progress communication and data entry of all relevant study start up activities into the appropriate tracking system.
Coordination of all necessary translations required for any start-up documentation.
Attend study team meetings as required.
Other duties as assigned
Responsible, as assigned, for one or more of the following tasks related to each of the key study start-up and/or maintenance activities:
Preparation, review and approval of Subject Information Sheets (SIS) and Informed Consent Forms (ICF):
Be involved as required in the preparation, review and/or approval of Country Master ICF templates.
Negotiate Informed Consent Forms (ICF) with Study Sites to ensure the Site Specific ICF meets local requirements and contains all required elements from Country Master ICF. Escalates any legal or clinical language discrepancies with Legal and/or Clinical team for approval as applicable.
Review, negotiate and approve all Ethics Committee (EC) and Institutional Review Board (IRB) queries to Site Specific ICFs.
Prepare, review and approve amended Site Specific amended ICFs.
Negotiation and Execution of Clinical Trial Agreements (CTA):
Prepare, review and negotiate CTAs, budgets and any required ancillary agreements with assigned Study Sites.
Prepare and oversee all contractual documents and correspondence, including the facilitation of the indemnification process, between Sponsor and Study Site.
Establish and maintain effective and proactive communication with Study Sites and internal personnel regarding the status of budgets, contracts and any other contract-related documents.
Ensure CTAs, budgets and ancillary agreements are negotiated within the Study specific agreed parameters and if not appropriate approvals are obtained and documented.
As required, prepare, review and negotiate amendments to CTAs, budgets and ancillary agreements.
Forecast Budget and Clinical Trial Agreements execution timelines and ensure they are achieved; provide risk and contingency plans to mitigate impact if forecasted timelines are not reached, and escalate issues as soon as identified.
Competent Authority (CA), Ethics Committee (EC) and Institutional Review Board (IRB) Submissions:
Collect, review, organize and assemble regulatory initial start-up and maintenance submission packages to Central EC/IRB, Local EC/IRB, Competent Authorities, any other local regulatory authorities as required by countries and in accordance with ICH/GCP and applicable country regulations/guidelines.
Interaction with Ethics Committees, Institutional Review Boards and Country Regulatory Agencies (Competent Authorities) to obtain all necessary authorizations/approvals pertaining to the clinical trial conduct (start up and maintenance as assigned).
Forecast submission/approval timelines and ensure they are achieved; provide contingency plans to mitigate impact if forecasted timelines are not reached, and escalate issues as soon as identified.
Preparation, Submission, Review and Approval of Critical Document Package (CDP):
Essential document collection and review, ensuring that Sponsor and Investigator obligations are being met and are in compliance with applicable country requirements and ICH/GCP guidelines.
Preparation and submission of site level critical documents which are part of the Critical Document Package (CDP) to the Central CDP Review Team (CDPRT) and Sponsor.
Review and approval of Critical Document Package (CDP).
Investigational Product (IP) release in accordance with regulatory and Sponsor requirements.
Forecast CDP Approval timelines and ensure they are reflected accurately in ICON's systems and are achieved; provide contingency plans to mitigate impact if forecasted timelines are at risk, and escalate issues as soon as identified.
Ensure accuracy and completeness of Trial Master File (TMF) documents submitted during start-up and perform a Quality Control (QC) review of files before transfer to maintenance for filing in TMF."
9	2249308739	Virtual Study Concierge	IQVIA	Buenos Aires, Provincia de Buenos Aires, Argentina	Hace 2 semanas	 No corresponde	 Jornada completa	 Gestión Manufactura	 Industria farmacéutica	"The Study Concierge will work with the Lead Study Concierge and Virtual Coordinator supporting the Virtual Trial Solutions Clinical Operations Group and their assigned studies. Specially developed, secure, platforms have been implemented to interact with study patients along with the sites and project vendors to ensure the patient-experience is high-quality, secure and pleasant.

The Study Concierge role supports all aspects of the virtual clinical trial operations from start-up to close-out; collecting, recording, reporting and interpreting information from patients enrolled and/or seeking enrollment onto our virtual studies according to the protocol, standard operating procedures (SOPs), and Good Clinical Practice (GCP). The Study Concierge carries out complex duties to ensure projects meet intended goals and assists with daily workload planning.

Essential Functions
Provide clinical research support to virtual site investigators to prepare for and execute assigned research studies, including:
Review and become proficient with virtual study protocols, Case Report Forms (CRFs), other study-specific documents, and electronic data capture systems used to collect and record clinical research data;
May collect and submit regulatory/ethics documentation as required by the FDA and other regulatory bodies governing the conduct of clinical research;
Maintain subject screening logs;
Develop tracking logs and maintain source documentation based on protocol requirements;
Assist with the scheduling of virtual study visits in conjunction with Virtual Coordinator/Patient Guide and the virtual site;
Collect, record, and maintain research subject study data according to study protocol and SOPs, preserving quality control for content, accuracy and completeness;
Correspond with virtual research subjects and troubleshoot study-related questions or issues;
Assist Patient Guides/Virtual Study Coordinators with gathering responses and communicating with virtual study participants
Participate in “huddles” to confirm and execute daily study tasks are executed to the expected standards;
Assist with study data quality checks and query resolution.
Assist virtual investigator and site staff in verifying that research study objectives are met on time and according to applicable protocol requirements, clinical research regulations and quality standards.
Provide training to new investigator site staff members on study-specific systems/platforms and requirements.
Assist virtual investigator and site staff with training requirements for compliance and documentation of such trainings.
Assist with other regulatory compliance documentation collection as needed
Assist research site with coverage planning related to staffing and scheduling for research projects.
Attend all relevant study meetings;
Facilitate shipment study supplies to study sites, including monitor Investigational Device inventory and liaison with Clinical Supply Management.
Prepare and send study-related documents and materials to virtual sites on behalf of sponsor.
The Study Concierge should have demonstrated ability to solve problems, be detail-oriented, and strong interpersonal skills.

Requirements
Bachelor's degree in life science or related field
3 years of relevant experience in a scientific or clinical environment, or equivalent combination of education, training and experience
Advanced in English

At IQVIA, we believe in pushing the boundaries of human science and data science to make the biggest impact possible – to help our customers create a healthier world. The advanced analytics, technology solutions and contract research services we provide to the life sciences industry are made possible by our 67,000+ employees around the world who apply their insight, curiosity and intellectual courage every step of the way. Learn more at jobs.iqvia.com."
